machine,raw_unmixed,bead_no,APC-Cy7,APC,BUV395,BUV737,BV421,BV650,FITC,PC7,PE,PerCP-Cy5.5,RY610,SB780
Mosaic,raw,1,116,1556,2505,1576,8545,28737,359,1944,775,1403,210,296
Mosaic,raw,2,1071,8725,11485,10739,41106,44805,359,12432,5241,1403,1356,2273
Mosaic,raw,3,5802,48938,57927,59606,211725,74955,3793,78282,30530,4537,7030,14582
Mosaic,raw,4,24948,259619,222295,241415,937000,184637,15121,457000,119826,17197,28262,52924
Mosaic,raw,Unstained,34.4,342,224,33.5,485,-1375,602,10.2,244,54.3,45.4,30.8
Mosaic,unmixed,1,-40.2,1279,2395,1596,8834,57141,99.1,2021,590,1280,152,281
Mosaic,unmixed,2,1031,8630,11134,10216,40893,57141,729,12509,5022,1280,1313,2267
Mosaic,unmixed,3,5633,48637,55971,58447,214056,57141,3701,77894,30374,4575,4713,15035
Mosaic,unmixed,4,24587,259035,220412,240093,9230000,354111,14735,457000,119499,17118,30071,53658
Mosaic,unmixed,Unstained,-144,25.5,6.37,2.56,1.9,-22.2,-7.79,32.9,13.2,2.48,1.73,14.8
Xenith,raw,1,10.4,27.5,22.5,33.4,97.2,235,5.07,8.7,3.43,4.9,3.57,9.7
Xenith,raw,2,10.4,87.8,93.1,193,425,235,5.07,68.9,42.5,4.9,3.57,9.7
Xenith,raw,3,55.9,398,422,1089,2158,235,53.5,376,243,25.6,43.7,138
Xenith,raw,4,200,2091,1660,4587,5952,762,187,2210,962,91.4,168,504
Xenith,raw,Unstained,10.3,16.9,3.63,6.33,4.44,2.15,4.13,3.9,1.91,2.44,2.33,5.11
Xenith,unmixed,1,8.44,27.5,179,29.3,105,497,6.98,8.7,7.95,9.64,-0.32,10.8
Xenith,unmixed,2,8.44,93,380,195,475,497,6.98,92.1,65.2,9.64,10.9,45.3
Xenith,unmixed,3,56.9,450,1411,1138,2431,497,57.7,567,369,38.7,89.1,160
Xenith,unmixed,4,230,2385,5038,4793,10298,1329,206,3439,1432,167,354,556
Xenith,unmixed,Unstained,7.26,15.6,105,1.07,-3.35,3.4,5.17,0.87,5.28,5.97,-1.13,8.06
ID7K,raw,1,12,123,780,71.9,2900,9936,90.9,210,234,81,78.8,124
ID7K,raw,2,12,857,3290,508,12451,9936,90.9,1413,2283,81,532,124
ID7K,raw,3,263,4772,17210,2716,64657,9936,1111,8121,13379,320,2987,2284
ID7K,raw,4,1148,26342,64932,11728,275420,38446,4344,47768,53018,1203,11877,8739
ID7K,raw,Unstained,1.33,0.61,102,5.27,181,20.1,21.2,0.4,1.3,2.06,6.93,11.2
ID7K,unmixed,1,15.1,123,796,75.8,2777,10551,85.1,194,229,109,80.6,130
ID7K,unmixed,2,15.1,852,3239,490,12689,10551,85.1,1306,2316,109,517,130
ID7K,unmixed,3,261,4812,17130,2849,64722,10551,1074,8147,14039,530,2962,2595
ID7K,unmixed,4,1170,26356,64904,12039,273908,48446,4293,47714,54792,2068,12006,9918
ID7K,unmixed,Unstained,-0.58,2.20,22,-0.99,40.5,0.86,-0.14,-0.39,-3.77,-5.35,-1.47,-3.34
A8,raw,1,128,2300,8094,1096,7403,24353,396,1877,1716,729,200,158
A8,raw,2,1612,14947,32836,6897,32998,24353,396,12138,11623,729,2404,1594
A8,raw,3,8981,82408,169078,39711,168658,24353,3708,75043,68047,3982,14465,10696
A8,raw,4,38901,477000,669000,171134,736000,81382,14101,445000,269951,15733,58623,39825
A8,raw,Unstained,-26,213,1450,10,479,47.7,162,2.37,526,-48.3,-213,96.2
Opteon,raw,1,1619,8790,15823,10290,24473,185340,2292,27922,5201,7882,1710,3037
Opteon,raw,2,12965,54624,64329,67087,117269,185340,7161,171691,47229,7882,11524,19684
Opteon,raw,3,74688,297254,338244,402000,625000,185340,32562,1090000,291164,27256,68805,124177
Opteon,raw,4,323549,171000,132000,1680000,2710000,617000,129432,6530000,1150000,99381,274966,447000
Opteon,raw,Unstained,438,696,2055,188,-315,584,1735,104,95.4,239,85.7,384
Opteon,unmixed,1,1474,8756,16335,10823,25101,191011,2282,27071,5055,8709,1821,2774
Opteon,unmixed,2,13072,55073,63301,65472,118812,191011,7078,171636,48401,8709,11784,19083
Opteon,unmixed,3,76345,295703,326377,397217,619000,191011,33709,1090000,295846,27824,68278,123141
Opteon,unmixed,4,328205,1710000,1320000,1660000,2700000,619000,129461,6580000,1170000,100364,275065,436000
Opteon,unmixed,Unstained,416,697,2004,92.5,-398,648,1800,90.9,114,253,76.2,379
Aurora,raw,1,335,1589,2193,1963,4220,46047,418,2589,2596,1169,675,737
Aurora,raw,2,2040,7765,9204,12454,17618,46047,1422,17382,10313,1169,2384,5259
Aurora,raw,3,10653,40794,46781,70040,88674,46047,6260,104817,54759,4378,11996,35389
Aurora,raw,4,46237,217090,182677,286961,372354,154702,24408,611000,211787,16419,46431,129303
Aurora,raw,Unstained,158,527,267,59.7,532,354,282,90.4,1636,137,381,131
Aurora,unmixed,1,186,110,2042,1890,3471,49954,122,2599,966,1102,347,586
Aurora,unmixed,2,1885,7322,9285,12484,16959,49954,1086,17343,8930,1102,2058,5088
Aurora,unmixed,3,10793,42164,47235,71485,89101,49954,6024,106385,55073,4429,11911,35458
Aurora,unmixed,4,46190,220988,182387,287446,372145,163157,24224,611000,212925,16327,46134,130759
Aurora,unmixed,Unstained,8.58,-0.57,-0.64,-19.3,-7.31,-11,0.34,-5.08,2.68,-2.3,19.1,0.78
